id,status,duration,start_date,start_station,end_date,end_station
482720,Closed,245,2012-08-19 08:33:00-04,20,2012-08-19 08:37:00-04,22,T01243,Registered,02109,1979,Male
482721,Closed,538,2012-08-19 08:33:00-04,45,2012-08-19 08:42:00-04,57
482722,Closed,731,2012-08-19 08:34:00-04,62,2012-08-19 08:46:00-04,41,T01067,Casual,,,
482728,Closed,1407,2012-08-19 08:36:00-04,38,2012-08-19 09:00:00-04,40
482729,Closed,1395,2012-08-19 08:37:00-04,38,2012-08-19 09:00:00-04,40,T01261,Registered,02116,1958,Male
482731,Closed,447,2012-08-19 08:37:00-04,35,2012-08-19 08:45:00-04,49
482732,Closed,239,2012-08-19 08:38:00-04,3,2012-08-19 08:42:00-04,12,T01050,Registered,02215,1967,Male
482734,Closed,1334,2012-08-19 08:39:00-04,78,2012-08-19 09:01:00-04,46
482735,Closed,247,2012-08-19 08:40:00-04,55,2012-08-19 08:44:00-04,45
482736,Closed,1046,2012-08-19 08:41:00-04,36,2012-08-19 08:58:00-04,69
482737,Closed,699,2012-08-19 08:40:00-04,65,2012-08-19 08:52:00-04,36
482740,Closed,523,2012-08-19 08:42:00-04,57,2012-08-19 08:51:00-04,58,T01127,Registered,02118,1980,Male
482741,Closed,453,2012-08-19 08:42:00-04,76,2012-08-19 08:50:00-04,74,T01089,Registered,02139,1970,Female
482742,Closed,1391,2012-08-19 08:44:00-04,45,2012-08-19 09:07:00-04,23
482743,Closed,1398,2012-08-19 08:43:00-04,45,2012-08-19 09:07:00-04,23
482744,Closed,358,2012-08-19 08:45:00-04,47,2012-08-19 08:51:00-04,59
482745,Closed,630,2012-08-19 08:48:00-04,53,2012-08-19 08:58:00-04,49,T01291,Casual,,,
482746,Closed,634,2012-08-19 08:48:00-04,53,2012-08-19 08:59:00-04,49,T01009,Casual,,,
482747,Closed,1191,2012-08-19 08:50:00-04,36,2012-08-19 09:10:00-04,42
482748,Closed,1198,2012-08-19 08:50:00-04,36,2012-08-19 09:10:00-04,42
482749,Closed,2886,2012-08-19 08:51:00-04,74,2012-08-19 09:39:00-04,33,T01233,Casual,,,
482750,Closed,2886,2012-08-19 08:51:00-04,74,2012-08-19 09:39:00-04,33
482751,Closed,1372,2012-08-19 08:53:00-04,62,2012-08-19 09:16:00-04,62
482752,Closed,169,2012-08-19 08:52:00-04,75,2012-08-19 08:55:00-04,76
482753,Closed,1298,2012-08-19 08:54:00-04,32,2012-08-19 09:16:00-04,78
482754,Closed,821,2012-08-19 08:56:00-04,41,2012-08-19 09:10:00-04,62
482755,Closed,783,2012-08-19 08:57:00-04,41,2012-08-19 09:10:00-04,62,T01067,Casual,,,
482756,Closed,2042,2012-08-19 09:01:00-04,38,2012-08-19 09:35:00-04,54
482758,Closed,2087,2012-08-19 09:01:00-04,38,2012-08-19 09:36:00-04,54
482759,Closed,4401,2012-08-19 09:02:00-04,46,2012-08-19 10:16:00-04,55,T01316,Casual,,,
482760,Closed,1767,2012-08-19 09:04:00-04,38,2012-08-19 09:33:00-04,38
482761,Closed,2322,2012-08-19 09:04:00-04,78,2012-08-19 09:43:00-04,84
482762,Closed,4255,2012-08-19 09:04:00-04,46,2012-08-19 10:15:00-04,55
482763,Closed,7657,2012-08-19 09:05:00-04,49,2012-08-19 11:12:00-04,49,T01009,Casual,,,
482764,Closed,771,2012-08-19 09:04:00-04,58,2012-08-19 09:17:00-04,30,T01127,Registered,01867,1965,Female
482765,Closed,1170,2012-08-19 09:04:00-04,40,2012-08-19 09:23:00-04,47
482766,Closed,1151,2012-08-19 09:04:00-04,40,2012-08-19 09:23:00-04,47,T01308,Registered,02116,1958,Male
482767,Closed,1311,2012-08-19 09:05:00-04,4,2012-08-19 09:27:00-04,44
482768,Closed,327,2012-08-19 09:05:00-04,76,2012-08-19 09:11:00-04,74
482769,Closed,2070,2012-08-19 09:07:00-04,61,2012-08-19 09:41:00-04,70,T01155,Casual,,,
482770,Closed,2026,2012-08-19 09:07:00-04,61,2012-08-19 09:41:00-04,70
482771,Closed,334,2012-08-19 09:07:00-04,46,2012-08-19 09:13:00-04,36
482773,Closed,658,2012-08-19 09:10:00-04,38,2012-08-19 09:21:00-04,42
482774,Closed,211,2012-08-19 09:11:00-04,18,2012-08-19 09:15:00-04,15,T01133,Casual,,,
482775,Closed,1119,2012-08-19 09:11:00-04,73,2012-08-19 09:30:00-04,80,T01037,Registered,02138,1988,Male
482776,Closed,599,2012-08-19 09:15:00-04,53,2012-08-19 09:25:00-04,16
482777,Closed,718,2012-08-19 09:17:00-04,3,2012-08-19 09:29:00-04,53
482778,Closed,311,2012-08-19 09:16:00-04,52,2012-08-19 09:22:00-04,36,T01255,Registered,02215,1987,Female
482779,Closed,455,2012-08-19 09:16:00-04,60,2012-08-19 09:24:00-04,36,T01193,Registered,02114,1978,Male
482780,Closed,300,2012-08-19 09:16:00-04,52,2012-08-19 09:21:00-04,36
482781,Closed,1004,2012-08-19 09:18:00-04,27,2012-08-19 09:35:00-04,54,T01099,Registered,02215,1946,Male
482782,Closed,938,2012-08-19 09:20:00-04,68,2012-08-19 09:36:00-04,76,T01219,Casual,,,
482784,Closed,4279,2012-08-19 09:23:00-04,18,2012-08-19 10:34:00-04,60
482785,Closed,614,2012-08-19 09:23:00-04,6,2012-08-19 09:33:00-04,55
482786,Closed,1029,2012-08-19 09:24:00-04,20,2012-08-19 09:41:00-04,4
482787,Closed,198,2012-08-19 09:23:00-04,26,2012-08-19 09:27:00-04,16
482788,Closed,1005,2012-08-19 09:24:00-04,20,2012-08-19 09:41:00-04,4
482789,Closed,433,2012-08-19 09:24:00-04,15,2012-08-19 09:32:00-04,17,T01133,Casual,,,
482790,Closed,1277,2012-08-19 09:26:00-04,36,2012-08-19 09:47:00-04,69
482791,Closed,1246,2012-08-19 09:26:00-04,36,2012-08-19 09:47:00-04,69,T01193,Registered,02114,1978,Male
482793,Closed,557,2012-08-19 09:31:00-04,9,2012-08-19 09:40:00-04,52
