id,status,duration,start_date,start_station,end_date,end_station
616008,Closed,679,2012-09-28 08:25:00-04,72,2012-09-28 08:37:00-04,50,T01329,Registered,02142,1957,Male
616009,Closed,772,2012-09-28 08:26:00-04,34,2012-09-28 08:39:00-04,68
616010,Closed,214,2012-09-28 08:27:00-04,64,2012-09-28 08:30:00-04,43,T01330,Registered,02030,1966,Male
616011,Closed,362,2012-09-28 08:28:00-04,35,2012-09-28 08:34:00-04,42
616012,Closed,249,2012-09-28 08:28:00-04,26,2012-09-28 08:32:00-04,16
616013,Closed,553,2012-09-28 08:29:00-04,40,2012-09-28 08:38:00-04,6
616014,Closed,733,2012-09-28 08:28:00-04,68,2012-09-28 08:41:00-04,62
616017,Closed,921,2012-09-28 08:29:00-04,16,2012-09-28 08:44:00-04,67
616018,Closed,219,2012-09-28 08:30:00-04,16,2012-09-28 08:33:00-04,57
616019,Closed,421,2012-09-28 08:30:00-04,88,2012-09-28 08:37:00-04,76
616020,Closed,126,2012-09-28 08:30:00-04,35,2012-09-28 08:32:00-04,48,T01110,Registered,02474,1978,Male
616021,Closed,773,2012-09-28 08:30:00-04,25,2012-09-28 08:43:00-04,64,T01074,Registered,02118,1976,Male
616022,Closed,298,2012-09-28 08:30:00-04,22,2012-09-28 08:35:00-04,31
616023,Closed,293,2012-09-28 08:30:00-04,72,2012-09-28 08:35:00-04,84,T01006,Registered,02043,1963,Female
616024,Closed,465,2012-09-28 08:31:00-04,38,2012-09-28 08:39:00-04,43
616025,Closed,1013,2012-09-28 08:32:00-04,53,2012-09-28 08:49:00-04,22
616026,Closed,507,2012-09-28 08:32:00-04,38,2012-09-28 08:40:00-04,20
616027,Closed,377,2012-09-28 08:32:00-04,22,2012-09-28 08:39:00-04,40
616028,Closed,390,2012-09-28 08:32:00-04,50,2012-09-28 08:39:00-04,35
616029,Closed,509,2012-09-28 08:33:00-04,50,2012-09-28 08:41:00-04,22
616030,Closed,409,2012-09-28 08:33:00-04,33,2012-09-28 08:40:00-04,67
616031,Closed,599,2012-09-28 08:33:00-04,35,2012-09-28 08:43:00-04,31
616032,Closed,353,2012-09-28 08:33:00-04,25,2012-09-28 08:39:00-04,36
616033,Closed,698,2012-09-28 08:33:00-04,38,2012-09-28 08:45:00-04,24,T01047,Registered,02451,1984,Male
616034,Closed,1068,2012-09-28 08:33:00-04,4,2012-09-28 08:51:00-04,11,T01398,Registered,02118,1967,Male
616035,Closed,425,2012-09-28 08:34:00-04,25,2012-09-28 08:41:00-04,50
616036,Closed,520,2012-09-28 08:35:00-04,38,2012-09-28 08:44:00-04,48,T01399,Casual,,,
616037,Closed,832,2012-09-28 08:35:00-04,33,2012-09-28 08:48:00-04,64
